2012_0,2012_1,2012_2,2013_0,2013_1,2013_2,2014_0,2014_1,2014_2,2015_0,2015_1,2015_2,2016_0,2016_1,2016_2,2017_0,2017_1,2017_2,2018_0,2018_1,2018_2
0,4917,3283,1634,4796,3002,1794,5546,3495,2051,5834,3700,2134,5913,3693,2220,6154,3803,2351,6600,4269,2331
1,791,445,346,793,430,363,874,475,399,895,485,410,922,494,428,962,519,443,989,549,440
2,6.2,7.4,4.7,6.0,7.0,4.9,6.3,7.4,5.1,6.5,7.6,5.2,6.4,7.5,5.2,6.4,7.3,5.3,7,8,5
3,3733,2462,1271,3735,2354,1380,4438,2813,1625,4629,3026,1603,4814,3079,1735,4872,3003,1869,5123,3258,1865
4,623,351,272,623,337,286,701,383,318,699,382,317,746,402,344,769,409,360,771,425,346
5,1184,821,363,1061,647,414,1108,682,426,1205,674,531,1099,614,485,1282,800,482,1477,1011,466
6,168,94,74,170,93,77,173,92,81,196,103,93,176,92,84,193,110,83,218,124,94
