2012_0,2012_1,2012_2,2013_0,2013_1,2013_2,2014_0,2014_1,2014_2,2015_0,2015_1,2015_2,2016_0,2016_1,2016_2,2017_0,2017_1,2017_2,2018_0,2018_1,2018_2
0,85707,43970,41737,124607,60434,64173,112068,76906,35162,142991,90690,52301,216570,100916,115654,237889,117237,120652,243028,124662,118366
1,51416,25975,25441,72665,33849,38816,69357,40494,28863,90497,46162,44335,113529,52964,60565,121916,58978,62938,122298,61534,60764
2,1.7,1.7,1.6,1.7,1.8,1.7,1.6,1.9,1.2,1.6,2.0,1.2,1.9,1.9,1.9,2.0,2.0,1.9,2.0,2.0,1.9
