2012_0,2012_1,2012_2,2013_0,2013_1,2013_2,2014_0,2014_1,2014_2,2015_0,2015_1,2015_2,2016_0,2016_1,2016_2,2017_0,2017_1,2017_2,2018_0,2018_1,2018_2
0,928234,473962,454272,2073949,1081209,992740,2751298,1367979,1383319,2723249,1311947,1411302,2817766,1403014,1414752,2663213,1398266,1264947,2280166,1175613,1104553
1,1080027,539862,540165,1859939,976100,883839,1899506,961496,938010,1711408,866964,844444,1729165,871852,857313,1657774,866592,791182,1345781,698905,646876
2,0.9,0.9,0.8,1.1,1.1,1.1,1.4,1.4,1.5,1.6,1.5,1.7,1.6,1.6,1.7,1.6,1.6,1.6,1.7,1.7,1.7
